open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.70675E+12,96.91,97.677,96.02,97.281,955693,1.70675E+12,92668320.1,116620,463228,44930575,0
1.70675E+12,97.281,97.448,93.66,94.149,3117395,1.70675E+12,296104178.4,287987,1390876,132075735.7,0
1.70675E+12,94.148,94.553,93.504,94.283,1168266,1.70676E+12,109971855.5,124938,620807,58448107.5,0
1.70676E+12,94.282,94.5,93.319,93.595,1226856,1.70676E+12,115144502.4,122226,602071,56521919.99,0
1.70676E+12,93.597,94.388,93.1,94.134,1281149,1.70676E+12,120190316.1,131601,652780,61254182.72,0
1.70676E+12,94.132,94.481,93.52,94.188,885803,1.70677E+12,83303073.5,95320,464582,43699093.84,0
1.70677E+12,94.187,94.852,94.056,94.672,842660,1.70677E+12,79608357.19,99205,428194,40454178.4,0
1.70677E+12,94.672,95.759,94.441,94.879,1072981,1.70677E+12,102111877.1,111041,502989,47867071.13,0
1.70677E+12,94.876,95.448,94.562,95.171,608838,1.70678E+12,57791638.92,81761,293958,27906834.22,0
1.70678E+12,95.172,96.2,94.716,95.889,1428934,1.70678E+12,136714748,115818,685433,65579962.47,0
1.70678E+12,95.888,96.708,95.58,96.29,851910,1.70679E+12,82021050.58,94917,430837,41481681.66,0
1.70679E+12,96.291,96.5,95.144,95.41,880864,1.70679E+12,84354831.82,94529,370496,35490205.43,0
1.70679E+12,95.41,95.956,95.012,95.257,959490,1.70679E+12,91589078.01,97440,469213,44792447.01,0
1.70679E+12,95.256,96.009,94.612,95.494,1028735,1.7068E+12,98066504.23,101494,503720,48032385.98,0
1.7068E+12,95.494,97.123,95.439,96.692,1787141,1.7068E+12,172420178.6,167892,978845,94440499.3,0
1.7068E+12,96.692,97.44,95.902,95.959,1610847,1.7068E+12,155887743.7,164044,768897,74443211.13,0
1.7068E+12,95.96,96.495,94.815,96.289,1745557,1.70681E+12,167120043.4,158488,850315,81435677.86,0
1.70681E+12,96.289,97.509,96.176,97.048,1739248,1.70681E+12,168518340.7,149815,862219,83551751.44,0
1.70681E+12,97.049,97.493,96.421,96.768,844616,1.70681E+12,81892027.51,94192,400025,38795227.95,0
1.70681E+12,96.773,98,96.35,97.833,1038757,1.70682E+12,101010613.3,106737,541797,52697285.82,0
1.70682E+12,97.831,98.13,96.875,97.183,702422,1.70682E+12,68401620.75,85140,337219,32846842.78,0
1.70682E+12,97.187,98.045,97.111,97.906,659248,1.70682E+12,64420989.14,81284,331611,32402995.68,0
1.70682E+12,97.904,97.975,96.901,97.092,451842,1.70683E+12,43963841.1,53818,216253,21044628.95,0
1.70683E+12,97.093,97.953,96.881,97.775,491271,1.70683E+12,47853326.51,57133,260512,25377041.98,0
1.70683E+12,97.776,99.55,97.335,98.821,1736130,1.70684E+12,171407940.1,173088,903350,89200146.41,0
1.70684E+12,98.821,99.22,98.421,98.616,603175,1.70684E+12,59597712.98,76217,273070,26990674.4,0
1.70684E+12,98.617,99.416,98.022,99.321,968576,1.70684E+12,95671305.03,92554,509563,50347150.96,0
1.70684E+12,99.321,100.131,98.91,98.956,768209,1.70685E+12,76379192.3,84822,384168,38213368.25,0
1.70685E+12,98.957,99.4,98.607,98.996,635706,1.70685E+12,62934808.09,69592,314850,31176656.38,0
1.70685E+12,98.997,99.578,98.387,99.236,741365,1.70685E+12,73321449.63,78041,371635,36763716.2,0
1.70685E+12,99.234,100.45,99.158,100.147,856736,1.70686E+12,85535795.27,96976,458614,45793027.38,0
1.70686E+12,100.14,101.507,100.042,101.182,1155346,1.70686E+12,116309985.7,118231,607981,61229050.91,0
1.70686E+12,101.181,101.454,99.86,100.4,1226795,1.70686E+12,123417604,121919,562548,56590080.55,0
1.70686E+12,100.4,101.272,100.08,100.64,555768,1.70687E+12,55952590.37,72861,264228,26606523.44,0
1.70687E+12,100.64,102.4,100.507,101.976,1008127,1.70687E+12,102471361.3,108710,567035,57639947.13,0
1.70687E+12,101.976,102.36,101.5,101.951,818202,1.70688E+12,83389439.63,86868,364727,37183380.59,0
1.70688E+12,101.952,102.573,101.293,101.386,1009287,1.70688E+12,102830051.1,115022,450111,45877068.99,0
1.70688E+12,101.385,101.696,98.357,98.846,2838103,1.70688E+12,283344540,256942,1274515,127232234.1,0
1.70688E+12,98.847,99.671,98.525,99.259,1705805,1.70689E+12,169138461.1,175869,900386,89291801.98,0
1.70689E+12,99.256,101.731,99.138,101.284,2179836,1.70689E+12,219377932.7,224213,1153019,116037812.5,0
1.70689E+12,101.284,102.192,99.81,100.027,1676815,1.70689E+12,169214477.7,178170,753752,76096302.37,0
1.70689E+12,100.027,100.56,99.02,99.245,1155316,1.7069E+12,115209715,122471,528651,52740177.69,0
1.7069E+12,99.246,99.305,98.301,99.182,1018586,1.7069E+12,100724773.7,117629,518152,51251010.35,0
1.7069E+12,99.182,99.492,98.612,99.436,575194,1.7069E+12,57018268.86,70993,324854,32208166.63,0
1.7069E+12,99.437,99.848,98.835,99.089,800044,1.70691E+12,79587502.24,87405,385813,38391390.53,0
1.70691E+12,99.09,99.658,99,99.329,330879,1.70691E+12,32879355.28,48988,175911,17478844.6,0
1.70691E+12,99.33,100.401,99.179,100.297,477638,1.70691E+12,47717782.96,55960,255002,25478094.08,0
1.70691E+12,100.297,100.826,100.2,100.559,561973,1.70692E+12,56473897.25,56933,278905,28030153.11,0
1.70692E+12,100.548,101.2,99.961,100.032,837731,1.70692E+12,84232294.14,86453,395574,39785567.98,0
1.70692E+12,100.032,100.547,99.39,100.02,619713,1.70693E+12,61988887.22,59007,287921,28812250.23,0
1.70693E+12,100.02,100.13,98.958,99.503,580224,1.70693E+12,57764480.26,61968,250917,24984449.15,0
1.70693E+12,99.502,99.864,99.149,99.183,416914,1.70693E+12,41455995.74,46543,207480,20635199.55,0
1.70693E+12,99.184,99.799,99.128,99.572,304664,1.70694E+12,30314787.24,36411,157603,15682536.51,0
1.70694E+12,99.572,100.063,99.32,100.021,367274,1.70694E+12,36624969.6,39829,180670,18020460.98,0
1.70694E+12,100.02,100.029,99.55,99.564,243210,1.70694E+12,24265547.04,33121,105653,10540664.12,0
1.70694E+12,99.565,99.871,98.55,99.056,651944,1.70695E+12,64662587.49,63751,283670,28154218.74,0
1.70695E+12,99.056,99.347,98.353,98.567,575775,1.70695E+12,56897093.9,60051,264788,26165956.35,0
1.70695E+12,98.567,99.356,98.516,99.229,429714,1.70695E+12,42528722.84,49209,232604,23020767.84,0
1.70695E+12,99.228,99.269,98.718,98.991,373655,1.70696E+12,36985266.03,38730,183625,18174135.33,0
1.70696E+12,98.989,98.992,98.356,98.648,411444,1.70696E+12,40560449,45362,196353,19356029.14,0
1.70696E+12,98.647,98.95,98.5,98.668,277727,1.70697E+12,27429128.46,34087,144638,14284102.33,0
1.70697E+12,98.669,98.755,97.695,97.968,714742,1.70697E+12,70148296.01,69882,311358,30557712.23,0
1.70697E+12,97.967,98.134,97.5,97.64,702399,1.70697E+12,68699225.18,65209,336933,32962864.19,0
1.70697E+12,97.639,98.318,96.602,97.96,1759999,1.70698E+12,171494470.3,145468,841925,82065359.7,0
1.70698E+12,97.96,98.31,97.7,97.755,647591,1.70698E+12,63476635.71,64594,272678,26730593.82,0
1.70698E+12,97.755,98.744,97.532,98.393,667842,1.70698E+12,65510752.64,72424,345675,33910947.03,0
1.70698E+12,98.384,98.492,97.216,97.492,752614,1.70699E+12,73658546.49,77467,371410,36352405.78,0
1.70699E+12,97.491,98.141,97.371,98.119,318594,1.70699E+12,31143546.45,39375,162547,15891063.15,0
1.70699E+12,98.119,98.28,97.68,97.967,266076,1.70699E+12,26067065.87,32339,135686,13293879.22,0
1.70699E+12,97.968,98.29,97.639,97.855,227920,1.707E+12,22321910.66,31124,109662,10740195.07,0
1.707E+12,97.855,98.432,97.696,97.905,398367,1.707E+12,39093898.87,41381,196333,19267631.72,0
1.707E+12,97.905,98.257,97.502,97.915,386757,1.707E+12,37821989.15,43874,189961,18578906.81,0
1.707E+12,97.914,98.027,96.802,97.896,762632,1.70701E+12,74363954.68,80245,364936,35592433.34,0
1.70701E+12,97.896,98.555,97.42,98.423,499666,1.70701E+12,48985152.2,56469,253345,24837619.62,0
1.70701E+12,98.416,98.55,98.063,98.148,315786,1.70702E+12,31038565.29,36290,156118,15344722.81,0
1.70702E+12,98.148,98.5,98.122,98.314,238700,1.70702E+12,23470077.02,31534,120002,11799237.03,0
1.70702E+12,98.315,98.33,97.167,97.55,537693,1.70702E+12,52468383.54,53216,266701,26019484.75,0
1.70702E+12,97.549,98.201,97.328,97.555,468208,1.70703E+12,45749562.29,47000,228251,22300801.15,0
1.70703E+12,97.555,97.828,96.887,97.031,597312,1.70703E+12,58080873.85,56924,258095,25101163.76,0
1.70703E+12,97.033,97.365,96.077,96.497,824878,1.70703E+12,79663491.12,81272,375398,36264476.81,0
1.70703E+12,96.497,96.779,96.35,96.56,389354,1.70704E+12,37593459.62,46609,206530,19942502.97,0
1.70704E+12,96.56,97.646,95.82,97.257,1182120,1.70704E+12,114479950.5,104413,599771,58081999.07,0
1.70704E+12,97.256,97.362,96.841,97.119,374802,1.70704E+12,36409473.74,44041,178289,17321468.22,0
1.70704E+12,97.119,98.25,96.982,97.873,709648,1.70705E+12,69333955.89,76171,358025,34981598.42,0
1.70705E+12,97.871,98.373,97.683,97.752,488451,1.70705E+12,47900625.23,59037,234556,23006704.09,0
1.70705E+12,97.746,97.976,97.544,97.719,325061,1.70706E+12,31777286.49,41852,161973,15836021.01,0
1.70706E+12,97.719,98.249,97.333,97.395,547391,1.70706E+12,53517433.43,60405,264863,25900146.14,0
1.70706E+12,97.396,97.745,97.18,97.603,382263,1.70706E+12,37255830.22,46924,195227,19031112.8,0
1.70706E+12,97.605,97.668,97.1,97.424,335564,1.70707E+12,32669511.41,42458,169033,16455977.59,0
1.70707E+12,97.424,97.59,96.977,97.03,467652,1.70707E+12,45461617.84,50147,216257,21022465.32,0
1.70707E+12,97.03,97.403,96.4,96.758,1168245,1.70707E+12,113181915.2,86895,579411,56138371.85,0
1.70707E+12,96.758,96.842,96.052,96.326,917135,1.70708E+12,88438659.39,73459,454468,43827134.9,0
1.70708E+12,96.326,96.705,95.5,96.643,921881,1.70708E+12,88596862.81,88120,458614,44099933.16,0
1.70708E+12,96.644,96.98,95.892,96.091,454274,1.70708E+12,43822511.56,56156,229711,22161903.53,0
1.70708E+12,96.092,96.5,95,95.743,888685,1.70709E+12,85061259.97,86151,402246,38516706.02,0
1.70709E+12,95.742,96,95.212,95.451,581220,1.70709E+12,55512458.8,65518,259634,24807993.86,0
1.70709E+12,95.452,96.2,95.116,95.205,676913,1.70709E+12,64700680.93,88946,333335,31865690.68,0
1.70709E+12,95.203,95.364,94.102,95.216,1257434,1.7071E+12,119209641.1,133727,543413,51530675.51,0
1.7071E+12,95.218,95.546,94.701,95.161,499297,1.7071E+12,47458841.7,59210,240812,22895948.48,0
1.7071E+12,95.161,96.1,95.131,96.021,614082,1.70711E+12,58761033.07,66735,356521,34115733.26,0
1.70711E+12,96.021,96.899,95.876,96.383,776613,1.70711E+12,74879445.27,88413,403236,38880791.04,0
1.70711E+12,96.384,96.453,95.754,96.116,464617,1.70711E+12,44632282.7,54574,216840,20829595.21,0
1.70711E+12,96.115,96.762,96.052,96.652,485604,1.70712E+12,46810420.25,57429,273431,26360861.06,0
1.70712E+12,96.646,97.9,96.62,97.537,1232346,1.70712E+12,119907199.1,126017,665142,64710187.9,0
1.70712E+12,97.537,97.843,96.902,97.392,793267,1.70712E+12,77213739.58,87141,365299,35555747.86,0
1.70712E+12,97.392,97.723,96.904,97.235,576565,1.70713E+12,56056601.27,63727,283856,27605413.21,0
1.70713E+12,97.24,98.198,97.24,97.888,876322,1.70713E+12,85710177.61,101540,448046,43818238.41,0
1.70713E+12,97.889,98,97.507,97.844,467220,1.70713E+12,45675996.22,63112,215719,21090425.12,0
1.70713E+12,97.844,98.046,97.327,97.566,598978,1.70714E+12,58509085.86,73285,298623,29170625.61,0
1.70714E+12,97.566,98.659,97.317,98.225,1299586,1.70714E+12,127531113.1,130612,669354,65680470.17,0
1.70714E+12,98.225,98.58,97.562,97.704,876811,1.70715E+12,85926156.92,101152,415335,40710681.69,0
1.70715E+12,97.704,97.704,95.191,95.557,2186781,1.70715E+12,210726466.6,220996,974078,93860182.18,0
1.70715E+12,95.555,96.273,95.287,96.151,1373160,1.70715E+12,131553873.5,132746,720087,68999971.18,0
