open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.67268E+12,11.107,11.174,11.078,11.098,1427651,1.67268E+12,15875361.17,26346,699078,7775352.916,0
1.67268E+12,11.098,11.155,11.07,11.136,1182359,1.67268E+12,13148096.01,21867,602653,6702457.952,0
1.67268E+12,11.136,11.195,11.121,11.124,1008418,1.67269E+12,11236629.61,19222,525092,5851599.353,0
1.67269E+12,11.125,11.5,11.102,11.244,2977118,1.67269E+12,33538134.26,49107,1588613,17903225.8,0
1.67269E+12,11.244,11.331,11.172,11.309,2111573,1.67269E+12,23752557.74,39062,1050369,11816075.6,0
1.67269E+12,11.31,11.406,11.264,11.349,1683020,1.6727E+12,19057883.73,32915,894566,10131997.98,0
1.6727E+12,11.349,11.396,11.204,11.259,1844491,1.6727E+12,20824869.5,33111,909083,10263656.64,0
1.6727E+12,11.259,11.316,11.224,11.259,1653034,1.6727E+12,18625730.1,28942,859419,9684828.835,0
1.6727E+12,11.259,11.324,11.147,11.278,2375511,1.67271E+12,26715939.7,39415,1216702,13688730.33,0
1.67271E+12,11.279,11.3,11,11.064,3501357,1.67271E+12,38914106.99,50576,1740459,19339957.34,0
1.67271E+12,11.064,11.165,11.045,11.13,1677258,1.67271E+12,18634874.37,23275,850251,9446681.134,0
1.67271E+12,11.131,11.217,11.069,11.199,1299565,1.67272E+12,14495590.68,20927,679563,7583163.896,0
1.67272E+12,11.2,11.38,11.189,11.263,1829195,1.67272E+12,20567390.53,28033,946045,10640298.22,0
1.67272E+12,11.264,11.773,11.258,11.729,9169541,1.67273E+12,106347302.1,135030,4635653,53750432.46,0
1.67273E+12,11.728,11.91,11.672,11.717,9014534,1.67273E+12,106164119.9,127700,4670310,55017956.04,0
1.67273E+12,11.716,11.939,11.673,11.881,4297705,1.67273E+12,50803083.51,64755,2161886,25558529.55,0
1.67273E+12,11.881,11.96,11.668,11.74,4551527,1.67274E+12,53658711.77,68087,2206436,26018408.18,0
1.67274E+12,11.739,11.833,11.706,11.798,2206773,1.67274E+12,25987987.31,34478,1169602,13773396.04,0
1.67274E+12,11.798,11.912,11.772,11.835,2337675,1.67274E+12,27679991.27,36019,1193494,14134059.43,0
1.67274E+12,11.834,11.98,11.785,11.81,4325361,1.67275E+12,51410893.11,63285,2175634,25866595.56,0
1.67275E+12,11.81,11.853,11.75,11.802,2364446,1.67275E+12,27908609.31,37935,1108396,13085101.8,0
1.67275E+12,11.802,12.106,11.802,11.948,4267662,1.67275E+12,50924291.96,66685,2340381,27936110.34,0
1.67275E+12,11.947,12.432,11.947,12.154,18159840,1.67276E+12,222104929.5,275129,9266288,113326256.2,0
1.67276E+12,12.155,12.889,12.135,12.819,26621360,1.67276E+12,334090200,337255,14284827,179308212.3,0
1.67276E+12,12.819,13.879,12.641,12.978,29205118,1.67277E+12,385302533,466619,14746380,194672708.5,0
1.67277E+12,12.978,13.177,12.721,12.849,11016827,1.67277E+12,142571652.6,189636,5454588,70598536.93,0
1.67277E+12,12.849,12.938,12.675,12.883,6290076,1.67277E+12,80543946.2,109082,3269805,41877162.37,0
1.67277E+12,12.883,13.13,12.816,12.896,7407084,1.67278E+12,95897074.56,129170,3810822,49341045.23,0
1.67278E+12,12.896,13.158,12.895,13.033,4875052,1.67278E+12,63502327.43,91993,2514805,32761051.61,0
1.67278E+12,13.032,13.317,12.947,13.198,5188919,1.67278E+12,68186948.45,100167,2736378,35961484.33,0
1.67278E+12,13.197,13.482,13,13.313,5871661,1.67279E+12,77444265.72,106117,3040763,40124129,0
1.67279E+12,13.314,13.357,13.187,13.326,4559370,1.67279E+12,60478308.21,81456,2332753,30944384.18,0
1.67279E+12,13.326,13.777,13.175,13.457,12732994,1.67279E+12,171775823.6,226557,6411893,86504220.87,0
1.67279E+12,13.457,13.62,13.288,13.543,7396931,1.6728E+12,99691566.61,123967,3744257,50469251.76,0
1.6728E+12,13.544,13.854,13.543,13.641,8181849,1.6728E+12,112073726.9,142195,4028310,55197415.88,0
1.6728E+12,13.641,14,13.334,13.435,10193364,1.6728E+12,138880639.6,163939,4983575,67964139.01,0
1.6728E+12,13.436,13.496,13.21,13.302,7012980,1.67281E+12,93517632.3,117936,3398977,45324338.22,0
1.67281E+12,13.302,13.629,13.28,13.624,4598760,1.67281E+12,61964834.5,86680,2520237,33957896.68,0
1.67281E+12,13.624,13.87,13.542,13.835,6943444,1.67282E+12,95235008.07,127515,3566070,48928041,0
1.67282E+12,13.835,14.2,13.703,14.109,13375509,1.67282E+12,185971686.9,235309,6928558,96383054.95,0
1.67282E+12,14.109,14.111,13.668,13.7,10472815,1.67282E+12,145044832.9,174335,4834175,66958193.92,0
1.67282E+12,13.699,13.783,13.53,13.73,6410844,1.67283E+12,87708853.24,104466,3114721,42619090.13,0
1.67283E+12,13.731,13.772,13.525,13.586,3891713,1.67283E+12,53139718.02,63561,1849369,25248739.52,0
1.67283E+12,13.585,13.736,13.568,13.629,3148641,1.67283E+12,43023555.9,53580,1527166,20867922.16,0
1.67283E+12,13.629,13.723,13.37,13.405,6311962,1.67284E+12,85391280.63,102428,2924812,39571370.24,0
1.67284E+12,13.406,13.561,13.403,13.486,3037522,1.67284E+12,40972399.97,56174,1585937,21392836.85,0
1.67284E+12,13.487,13.509,13.238,13.46,7214797,1.67284E+12,96303418.43,119402,3593786,47977669.35,0
1.67284E+12,13.459,13.517,13.15,13.352,8572016,1.67285E+12,113919299.4,142142,4347837,57790142.45,0
1.67285E+12,13.352,13.632,13.253,13.414,8387830,1.67285E+12,112732079.9,112841,4139434,55639645.98,0
